,0
0,/imagenet/train/n02098105/n02098105_311.JPEG 4
1,/imagenet/train/n04311174/n04311174_4192.JPEG 1
2,/imagenet/train/n04380533/n04380533_974.JPEG 16
3,/imagenet/train/n02097474/n02097474_3024.JPEG 2
4,/imagenet/train/n02799071/n02799071_922.JPEG 1
5,/imagenet/train/n02526121/n02526121_3647.JPEG 4
6,/imagenet/train/n04599235/n04599235_24735.JPEG 3
7,/imagenet/train/n02708093/n02708093_1100.JPEG 10
8,/imagenet/train/n02095570/n02095570_9036.JPEG 4
9,/imagenet/train/n01749939/n01749939_5480.JPEG 4
10,/imagenet/train/n02492660/n02492660_4681.JPEG 23
11,/imagenet/train/n02091032/n02091032_1884.JPEG 4
12,/imagenet/train/n07718472/n07718472_5597.JPEG 17
13,/imagenet/train/n04560804/n04560804_4044.JPEG 17
14,/imagenet/train/n01514859/n01514859_28276.JPEG 4
15,/imagenet/train/n01751748/n01751748_5292.JPEG 4
16,/imagenet/train/n03791053/n03791053_12124.JPEG 13
17,/imagenet/train/n01978287/n01978287_5812.JPEG 17
18,/imagenet/train/n02363005/n02363005_22549.JPEG 4
19,/imagenet/train/n09472597/n09472597_19101.JPEG 36
20,/imagenet/train/n02422699/n02422699_3715.JPEG 4
21,/imagenet/train/n02165456/n02165456_19104.JPEG 39
22,/imagenet/train/n01742172/n01742172_3342.JPEG 4
23,/imagenet/train/n03447721/n03447721_15989.JPEG 2
24,/imagenet/train/n02097474/n02097474_14153.JPEG 3
25,/imagenet/train/n03535780/n03535780_10575.JPEG 7
26,/imagenet/train/n03197337/n03197337_909.JPEG 10
27,/imagenet/train/n03063689/n03063689_2247.JPEG 50
28,/imagenet/train/n03089624/n03089624_704.JPEG 13
29,/imagenet/train/n01968897/n01968897_20408.JPEG 17
30,/imagenet/train/n01644900/n01644900_4065.JPEG 4
31,/imagenet/train/n01843383/n01843383_2701.JPEG 4
32,/imagenet/train/n03498962/n03498962_54236.JPEG 42
33,/imagenet/train/n02837789/n02837789_1145.JPEG 6
34,/imagenet/train/n03208938/n03208938_11298.JPEG 0
35,/imagenet/train/n02094258/n02094258_4887.JPEG 4
36,/imagenet/train/n04277352/n04277352_9049.JPEG 10
37,/imagenet/train/n04604644/n04604644_11582.JPEG 13
38,/imagenet/train/n02009912/n02009912_24669.JPEG 4
39,/imagenet/train/n03026506/n03026506_2072.JPEG 16
40,/imagenet/train/n02930766/n02930766_31287.JPEG 13
41,/imagenet/train/n04398044/n04398044_21735.JPEG 17
42,/imagenet/train/n01498041/n01498041_13690.JPEG 25
43,/imagenet/train/n01534433/n01534433_15056.JPEG 4
44,/imagenet/train/n04209133/n04209133_3318.JPEG 2
45,/imagenet/train/n03000684/n03000684_27776.JPEG 75
46,/imagenet/train/n01734418/n01734418_12134.JPEG 4
47,/imagenet/train/n03180011/n03180011_2416.JPEG 2
48,/imagenet/train/n02690373/n02690373_3561.JPEG 7
49,/imagenet/train/n03347037/n03347037_26694.JPEG 16
50,/imagenet/train/n02177972/n02177972_5568.JPEG 4
51,/imagenet/train/n02454379/n02454379_15808.JPEG 4
52,/imagenet/train/n02704792/n02704792_28743.JPEG 25
53,/imagenet/train/n02092002/n02092002_11304.JPEG 8
54,/imagenet/train/n07714990/n07714990_5282.JPEG 17
55,/imagenet/train/n01688243/n01688243_2919.JPEG 4
56,/imagenet/train/n03825788/n03825788_8350.JPEG 3
57,/imagenet/train/n03400231/n03400231_11901.JPEG 17
58,/imagenet/train/n01784675/n01784675_9802.JPEG 4
59,/imagenet/train/n03424325/n03424325_14204.JPEG 3
60,/imagenet/train/n02119789/n02119789_17050.JPEG 4
61,/imagenet/train/n04141327/n04141327_153.JPEG 10
62,/imagenet/train/n03709823/n03709823_16187.JPEG 24
63,/imagenet/train/n02992211/n02992211_24156.JPEG 1
64,/imagenet/train/n04525038/n04525038_10393.JPEG 21
65,/imagenet/train/n02699494/n02699494_2971.JPEG 13
66,/imagenet/train/n01534433/n01534433_28164.JPEG 4
67,/imagenet/train/n02877765/n02877765_9321.JPEG 17
68,/imagenet/train/n01740131/n01740131_19432.JPEG 4
69,/imagenet/train/n04228054/n04228054_1881.JPEG 7
70,/imagenet/train/n03388043/n03388043_5205.JPEG 25
71,/imagenet/train/n01616318/n01616318_1266.JPEG 4
72,/imagenet/train/n02097130/n02097130_12319.JPEG 23
73,/imagenet/train/n02825657/n02825657_11605.JPEG 13
74,/imagenet/train/n04599235/n04599235_3900.JPEG 3
75,/imagenet/train/n02950826/n02950826_2843.JPEG 13
76,/imagenet/train/n03837869/n03837869_3577.JPEG 13
77,/imagenet/train/n04254120/n04254120_5863.JPEG 10
78,/imagenet/train/n07754684/n07754684_24357.JPEG 17
79,/imagenet/train/n01641577/n01641577_13186.JPEG 4
80,/imagenet/train/n03877845/n03877845_5379.JPEG 13
81,/imagenet/train/n02978881/n02978881_1868.JPEG 1
82,/imagenet/train/n03208938/n03208938_3607.JPEG 10
83,/imagenet/train/n02988304/n02988304_11696.JPEG 3
84,/imagenet/train/n04517823/n04517823_23746.JPEG 10
85,/imagenet/train/n03920288/n03920288_1705.JPEG 17
86,/imagenet/train/n03633091/n03633091_9251.JPEG 10
87,/imagenet/train/n09256479/n09256479_9760.JPEG 25
88,/imagenet/train/n04200800/n04200800_26365.JPEG 8
89,/imagenet/train/n02447366/n02447366_19377.JPEG 4
90,/imagenet/train/n02978881/n02978881_9490.JPEG 10
91,/imagenet/train/n03937543/n03937543_21.JPEG 17
92,/imagenet/train/n02403003/n02403003_7134.JPEG 25
93,/imagenet/train/n01695060/n01695060_26711.JPEG 4
94,/imagenet/train/n03249569/n03249569_35162.JPEG 10
95,/imagenet/train/n07716906/n07716906_4998.JPEG 43
96,/imagenet/train/n07565083/n07565083_3060.JPEG 17
97,/imagenet/train/n03095699/n03095699_4717.JPEG 25
98,/imagenet/train/n03857828/n03857828_29134.JPEG 2
